old_x old_y new_lat new_lon id

1520334.11265 7466172.76139 40.8157038 -111.9338047 2.0

1520312.8879 7461851.08597 40.8038425 -111.9338057 3.0

1522965.00793 7461864.26871 40.8039136 -111.9242268 4.0

1525331.2973 7461715.69219 40.8035363 -111.9156776 5.0

1517492.8405 7460296.40785 40.7995376 -111.9439635 6.0

1520335.86022 7458530.63011 40.7947296 -111.9336646 7.0

1523379.53104 7458485.16651 40.7946448 -111.9226719 8.0

1525891.92669 7458479.74377 40.7946621 -111.9135986 9.0

1528121.7295 7458473.42828 40.7946728 -111.9055458 10.0

1517997.15689 7455667.49035 40.7868400 -111.9420594 11.0

1512724.99432 7452677.78293 40.7785614 -111.9610413 12.0

1514151.15546 7453626.28413 40.7811848 -111.9559096 13.0

1515866.92786 7453196.94615 40.7800302 -111.9497067 14.0

1506846.57477 7444351.63396 40.7556244 -111.9821034 15.0

1509507.83184 7444365.32358 40.7557009 -111.9724984 16.0

1512157.91643 7443591.39511 40.7536148 -111.9629190 17.0

1512172.79492 7447724.67887 40.7649593 -111.9629425 18.0

1514825.96228 7448498.23869 40.7671197 -111.9533793 19.0

1514802.07649 7439484.38824 40.7423798 -111.9533006 20.0

1514783.06148 7435276.97652 40.7308316 -111.9532922 21.0

1517427.69171 7435278.32918 40.7308718 -111.9437505 22.0

1517447.18179 7439481.45822 40.7424081 -111.9437554 23.0

1517476.30902 7448493.20808 40.7671424 -111.9438116 25.0

1518221.64571 7451685.12826 40.7759131 -111.9411779 26.0

1520968.53727 7452052.95403 40.7769594 -111.9312669 27.0

1523778.97574 7455599.01576 40.7867287 -111.9211803 28.0

1526161.86355 7456773.48221 40.7899826 -111.9125953 29.0

1526161.82435 7455188.47533 40.7856324 -111.9125691 30.0

1528377.1113 7456740.85146 40.7899208 -111.9045953 31.0

1530466.88597 7456265.27134 40.7886412 -111.8970412 32.0

1533598.10519 7456456.49366 40.7892036 -111.8857371 33.0

1528517.29251 7455163.46682 40.7855932 -111.9040633 34.0

1530645.71108 7454610.06936 40.7841005 -111.8963689 35.0

1523779.75804 7452826.14441 40.7791183 -111.9211303 37.0

1526155.46755 7452815.15143 40.7791185 -111.9125525 38.0

1528535.13019 7452797.01843 40.7790985 -111.9039603 39.0

1530960.58833 7452809.15858 40.7791616 -111.8952032 36.0

1511543.17058 7440316.48703 40.7446177 -111.9650763 41.0

1523767.81217 7450446.03036 40.7725856 -111.9211330 42.0

